日期,時間,隊伍,地點
2023-10-01,17:05,樂天桃猿 VS. 統一獅,台南棒球場
2023-10-02,18:35,樂天桃猿 VS. 味全龍,天母棒球場
2023-10-03,19:05,統一獅 VS. 富邦悍將,新莊棒球場
2023-10-04,17:35,味全龍 VS. 富邦悍將,高雄棒球場
2023-10-05,18:05,統一獅 VS. 樂天桃猿,桃園棒球場
2023-10-06,17:05,富邦悍將 VS. 中信兄弟,台中洲際棒球場
2023-10-07,18:35,統一獅 VS. 樂天桃猿,台南棒球場
2023-10-08,19:05,味全龍 VS. 中信兄弟,天母棒球場
2023-10-09,17:35,富邦悍將 VS. 味全龍,新莊棒球場
2023-10-10,18:05,樂天桃猿 VS. 中信兄弟,桃園棒球場
2023-10-11,17:05,統一獅 VS. 富邦悍將,台南棒球場
2023-10-12,18:35,樂天桃猿 VS. 味全龍,桃園棒球場
2023-10-13,19:05,中信兄弟 VS. 統一獅,台中洲際棒球場
2023-10-14,17:35,味全龍 VS. 富邦悍將,高雄棒球場
2023-10-15,18:05,樂天桃猿 VS. 中信兄弟,桃園棒球場
2023-10-16,17:05,富邦悍將 VS. 統一獅,新莊棒球場
2023-10-17,18:35,味全龍 VS. 樂天桃猿,天母棒球場
2023-10-18,19:05,統一獅 VS. 中信兄弟,台南棒球場
2023-10-19,17:35,富邦悍將 VS. 味全龍,新莊棒球場
2023-10-20,18:05,中信兄弟 VS. 樂天桃猿,台中洲際棒球場
